bulan,Categori Produk,Kinerja 2024,Kinerja 2025,Target Tahun Ini,growth,achievement
01,1. PLN,3935.323828828829,4242.417117117117,5608.3795915178425,7.803507453151089,75.644257809036
01,10. WESEL LN,5073.842332,4177.960433,4599.1473265676095,-17.656873043724687,90.84206563389337
01,11. METERAI,22585.494264,23334.791354,22868.523285740506,3.3176032423356663,102.03890763926253
01,12. FILATELI,1258.1728,1380.0111,1440.8363651055095,9.683749322827508,95.77847515661118
01,13. EBATARA & CICO,4412.703226,3849.7445301999996,4965.385650535138,-12.757683147214669,77.53163200496014
01,14. ASURANSI & INVESTASI,118.456086,85.079738,116.10832969100055,-28.1761360914795,73.27617081946056
01,15. KREDIT PENSIUN,12281.893104,10328.808453,12223.409293528823,-15.902146635390558,84.50022579599097
01,16. MANFAAT PENSIUN,816.24721,2987.996296,1984.4785606940482,266.0651159836736,150.56833342432196
01,17. PENYALURAN DANA NASIONAL,2072.616781000003,107.82531900000001,0.0,-94.79762395111092,inf
01,18. PENYALURAN DANA DAERAH,0.0,0.0,26.587032540159793,,0.0
01,19. PENYALURAN DANA KORPORAT,0.0,15.4175,2.658703254015979,inf,579.8879576617594
01,2. TELCO,1225.508472972973,1092.1662153152145,1270.900240998645,-10.880565952700625,85.9364236532849
01,20. POSPAY MOBILE,819.3301045045044,817.7400567567568,1892.285402149196,-0.1940668039665505,43.214414476166986
01,21. POSPAY MERCHANT,454.01585045045044,568.6924018018018,686.1243120484511,25.258270440905388,82.88474724120303
01,22. POSPAY B2B,1568.9182621621644,884.0406288288261,2332.409661954605,-43.652856229074146,37.90245955712526
01,24. To Be Confirm Akutansi,12804.529613,0.0,0.0,-100.0,
01,3. PDAM,1249.215672117117,1193.7086585585585,1631.6454905620058,-4.443349118770475,73.15980496151747
01,4. PAJAK DAERAH,255.6593963963964,228.75810922485923,769.013441173785,-10.522315060866019,29.746958502532006
01,5. PAJAK NASIONAL,2615.380585585586,1880.472052985365,4119.845745809269,-28.09948718938258,45.64423449344414
01,6. CICILAN,1846.137509009009,1709.9937837837838,2433.6524689500916,-7.3745170422492485,70.2645018383211
01,7. PAYMENT LAINNYA,1123.8088918918918,1064.397009009009,1568.7456380442272,-5.286653568193877,67.85019720188703
01,8. SYARIAH,549.5127540000002,425.79247300000003,599.2385320201399,-22.514542219342214,71.0555897606547
01,9. WESEL DN,1557.02825,1241.9410500000001,1574.9555952647615,-20.236447219246017,78.8556232146482
02,1. PLN,4054.0842342342344,4465.897715181368,5224.012897506886,10.157990242768596,85.48787690230778
02,10. WESEL LN,4551.948063,4175.262134,4296.689443357302,-8.275268605585588,97.17393330474397
02,11. METERAI,19334.300784,24527.372788,22468.72684907076,26.85937320421487,109.16227231190172
02,12. FILATELI,1295.9193,1101.2907,1612.0783430097877,-15.01857407324669,68.31496153864735
02,13. EBATARA & CICO,4059.06408,3349.17903975,4458.887021716959,-17.488884783755378,75.11244450549792
02,14. ASURANSI & INVESTASI,91.164406,163.915049,173.05044209241203,79.80158725544706,94.72096518104614
